id,max_qtty,grade
1833702,20,ABC
1841071,20,ABC
1842880,20,ABC
1855693,20,ABC
1858957,20,ABC
1861628,20,ABC
1863964,20,ABC
1864447,20,ABC
1865743,20,ABC
1867555,20,ABC
1382423,20,ABD
1399871,20,ABD
1413968,20,ABD
1419052,20,ABD
1435441,20,ABD
1438446,20,ABD
1462269,20,ABD
1464704,20,ABD
1477077,20,ABD
1478180,20,ABD
1731832,20,ABD
1742422,20,ABD
1822875,20,ABD
1828799,20,ABD
1833702,20,ABD
1841071,20,ABD
1842880,20,ABD
1863964,20,ABD
1865743,20,ABD
1867555,20,ABD
1382423,20,ACD
1393400,20,ACD
1399871,20,ACD
1413968,20,ACD
1419052,20,ACD
1435441,20,ACD
1462269,20,ACD
1477077,20,ACD
1478180,20,ACD
1731832,20,ACD
1742422,20,ACD
1822875,20,ACD
1827116,20,ACD
1828799,20,ACD
1841071,20,ACD
1855693,20,ACD
1861628,20,ACD
1863964,20,ACD
1865743,20,ACD
1867555,20,ACD
1382423,20,BCD
1393400,20,BCD
1399871,20,BCD
1413968,20,BCD
1419052,20,BCD
1431333,20,BCD
1435441,20,BCD
1438446,20,BCD
1462269,20,BCD
1464704,20,BCD
1477077,20,BCD
1478180,20,BCD
1731832,20,BCD
1742422,20,BCD
1822875,20,BCD
1827116,20,BCD
1833702,20,BCD
1842880,20,BCD
1855693,20,BCD
1861628,20,BCD
1393400,20,ABCD
1399871,20,ABCD
1413968,20,ABCD
1419052,20,ABCD
1435441,20,ABCD
1438446,20,ABCD
1464704,20,ABCD
1477077,20,ABCD
1478180,20,ABCD
1742422,20,ABCD
1822875,20,ABCD
1827116,20,ABCD
1828799,20,ABCD
1833702,20,ABCD
1841071,20,ABCD
1842880,20,ABCD
1855693,20,ABCD
1861628,20,ABCD
1863964,20,ABCD
1867555,20,ABCD
